measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,39,Tajikistan,3,Both,22,All ages,294,All causes,1,Number,2021,59059.5460602562,65306.61778952721,52151.5722342367
1,Deaths,39,Tajikistan,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,39,Tajikistan,3,Both,22,All ages,294,All causes,3,Rate,2021,581.2980545790482,642.7853311547275,513.3057990671089
1,Deaths,72,New Zealand,3,Both,22,All ages,294,All causes,1,Number,2021,34492.59226721439,34937.85787294636,34086.52168125238
1,Deaths,72,New Zealand,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,72,New Zealand,3,Both,22,All ages,294,All causes,3,Rate,2021,667.2309111747406,675.8442091700246,659.3758086943683
1,Deaths,202,Cameroon,3,Both,22,All ages,294,All causes,1,Number,2021,260685.35985463,303641.79575243325,224844.18503981788
1,Deaths,202,Cameroon,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,202,Cameroon,3,Both,22,All ages,294,All causes,3,Rate,2021,820.2906644452536,955.4603700415272,707.5103337057922
1,Deaths,170,Congo,3,Both,22,All ages,294,All causes,1,Number,2021,46268.098605519954,53993.29655104154,39697.285366703865
1,Deaths,170,Congo,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,170,Congo,3,Both,22,All ages,294,All causes,3,Rate,2021,858.1511151780015,1001.433148192628,736.279871741088
1,Deaths,55,Slovenia,3,Both,22,All ages,294,All causes,1,Number,2021,23019.29780454771,23891.113363785043,22092.581130829007
1,Deaths,55,Slovenia,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,55,Slovenia,3,Both,22,All ages,294,All causes,3,Rate,2021,1112.2306378139422,1154.3544238538063,1067.4541773921428
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,1,Number,2021,242419.35622803227,287121.24020893185,203027.59640040752
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2021,918.5242727187932,1087.8992191405328,769.269328271422
1,Deaths,22,Fiji,3,Both,22,All ages,294,All causes,1,Number,2021,9448.30416950498,11937.404270955656,7219.279431415872
1,Deaths,22,Fiji,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,22,Fiji,3,Both,22,All ages,294,All causes,3,Rate,2021,1022.0194754795324,1291.264488601708,780.9067156886836
1,Deaths,367,Monaco,3,Both,22,All ages,294,All causes,1,Number,2021,590.6157000164873,662.754958227744,524.0418269890935
1,Deaths,367,Monaco,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,367,Monaco,3,Both,22,All ages,294,All causes,3,Rate,2021,1559.8570512746992,1750.381838528769,1384.030832517649
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All ages,294,All causes,1,Number,2021,697972.9181585995,802913.3057006939,597101.3056966913
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All ages,294,All causes,3,Rate,2021,775.3724263010093,891.9498475570476,663.3149741210194
1,Deaths,23,Kiribati,3,Both,22,All ages,294,All causes,1,Number,2021,979.9046439274824,1188.3671565264951,816.3527767145235
1,Deaths,23,Kiribati,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,23,Kiribati,3,Both,22,All ages,294,All causes,3,Rate,2021,808.7626083397506,980.81678368777,673.7753567273613
1,Deaths,89,Netherlands,3,Both,22,All ages,294,All causes,1,Number,2021,169764.29857501425,171714.73640166267,168026.7479387877
1,Deaths,89,Netherlands,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,89,Netherlands,3,Both,22,All ages,294,All causes,3,Rate,2021,986.390300194663,997.7230301590182,976.2945197033748
1,Deaths,57,Belarus,3,Both,22,All ages,294,All causes,1,Number,2021,161846.8282563463,185267.79265213248,140034.53026541628
1,Deaths,57,Belarus,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,57,Belarus,3,Both,22,All ages,294,All causes,3,Rate,2021,1735.686579557005,1986.8589628530256,1501.76594422524
1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,294,All causes,1,Number,2021,720.4925854416639,721.564317385935,719.5382500983513
1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,294,All causes,3,Rate,2021,805.959187228525,807.158050650836,804.8916462805947
1,Deaths,88,Malta,3,Both,22,All ages,294,All causes,1,Number,2021,4035.320506757422,4271.599975123949,3812.2755688244497
1,Deaths,88,Malta,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,88,Malta,3,Both,22,All ages,294,All causes,3,Rate,2021,912.5160854040342,965.9464920282708,862.0784328579841
1,Deaths,204,Chad,3,Both,22,All ages,294,All causes,1,Number,2021,181931.23589085095,220094.04479333025,152733.78535694556
1,Deaths,204,Chad,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,204,Chad,3,Both,22,All ages,294,All causes,3,Rate,2021,1025.0017461785365,1240.011255527372,860.5031231978774
1,Deaths,40,Turkmenistan,3,Both,22,All ages,294,All causes,1,Number,2021,43609.78892006521,51506.76370453623,36656.84036861669
1,Deaths,40,Turkmenistan,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,40,Turkmenistan,3,Both,22,All ages,294,All causes,3,Rate,2021,845.41753646787,998.507957980196,710.6279678614305
1,Deaths,106,Bahamas,3,Both,22,All ages,294,All causes,1,Number,2021,3846.447532457487,4443.023405355042,3339.9255815789347
1,Deaths,106,Bahamas,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,106,Bahamas,3,Both,22,All ages,294,All causes,3,Rate,2021,991.4400591709298,1145.210314382914,860.8816286417693
1,Deaths,369,Nauru,3,Both,22,All ages,294,All causes,1,Number,2021,93.5690740583062,115.76118208597464,76.00959731786936
1,Deaths,369,Nauru,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,369,Nauru,3,Both,22,All ages,294,All causes,3,Rate,2021,848.7426125102213,1050.041897921289,689.4648135902065
1,Deaths,24,Marshall Islands,3,Both,22,All ages,294,All causes,1,Number,2021,442.6408096792374,554.1332453031424,357.0535908990705
1,Deaths,24,Marshall Islands,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,24,Marshall Islands,3,Both,22,All ages,294,All causes,3,Rate,2021,786.5939551416539,984.7213622583524,634.5013611970256
1,Deaths,122,Ecuador,3,Both,22,All ages,294,All causes,1,Number,2021,124044.46062155132,142697.56241399804,107310.24386861672
1,Deaths,122,Ecuador,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,122,Ecuador,3,Both,22,All ages,294,All causes,3,Rate,2021,686.6415099609609,789.8947621903934,594.0101437421552
1,Deaths,205,Côte d'Ivoire,3,Both,22,All ages,294,All causes,1,Number,2021,208510.1160813885,239620.73158374676,181178.5547836279
1,Deaths,205,Côte d'Ivoire,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,205,Côte d'Ivoire,3,Both,22,All ages,294,All causes,3,Rate,2021,748.3707111214951,860.0308736329349,650.2740798938664
1,Deaths,139,Algeria,3,Both,22,All ages,294,All causes,1,Number,2021,273173.3414295296,306131.03313501965,242235.2208080071
1,Deaths,139,Algeria,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,139,Algeria,3,Both,22,All ages,294,All causes,3,Rate,2021,618.0678903418151,692.6362610193872,548.068896868955
1,Deaths,155,Türkiye,3,Both,22,All ages,294,All causes,1,Number,2021,654482.2716820807,743817.1004161848,569367.9382210689
1,Deaths,155,Türkiye,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,155,Türkiye,3,Both,22,All ages,294,All causes,3,Rate,2021,782.7607533875671,889.6052026099062,680.9640162310488
1,Deaths,186,Seychelles,3,Both,22,All ages,294,All causes,1,Number,2021,861.2282717643809,931.1895790840924,802.6089497628774
1,Deaths,186,Seychelles,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,186,Seychelles,3,Both,22,All ages,294,All causes,3,Rate,2021,816.860526164169,883.2176491035178,761.2610854776283
1,Deaths,58,Estonia,3,Both,22,All ages,294,All causes,1,Number,2021,18586.646347008496,19275.42608035784,17986.32200524058
1,Deaths,58,Estonia,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,58,Estonia,3,Both,22,All ages,294,All causes,3,Rate,2021,1417.9253820992249,1470.470539969988,1372.1282487276253
1,Deaths,121,Bolivia (Plurinational State of),3,Both,22,All ages,294,All causes,1,Number,2021,120940.2319630616,140044.35014779522,107066.55228267236
1,Deaths,121,Bolivia (Plurinational State of),3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,121,Bolivia (Plurinational State of),3,Both,22,All ages,294,All causes,3,Rate,2021,1025.1667202520448,1187.1054387814804,907.5645421768772
1,Deaths,90,Norway,3,Both,22,All ages,294,All causes,1,Number,2021,41915.413334919285,42567.34122648328,41320.92472164885
1,Deaths,90,Norway,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,90,Norway,3,Both,22,All ages,294,All causes,3,Rate,2021,773.6225609966788,785.655035089847,762.650229653866
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,1,Number,2021,184094.58341633825,186096.81163507685,182518.68518108272
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2021,778.8509650467352,787.3218138434196,772.1837951682581
1,Deaths,189,United Republic of Tanzania,3,Both,22,All ages,294,All causes,1,Number,2021,439574.9456301297,498408.3905052168,388429.21035852085
1,Deaths,189,United Republic of Tanzania,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,189,United Republic of Tanzania,3,Both,22,All ages,294,All causes,3,Rate,2021,752.0805792704648,852.7403000803105,664.5739672747669
1,Deaths,156,United Arab Emirates,3,Both,22,All ages,294,All causes,1,Number,2021,20062.97624032589,23516.704016059677,16109.94660450442
1,Deaths,156,United Arab Emirates,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,156,United Arab Emirates,3,Both,22,All ages,294,All causes,3,Rate,2021,208.3133848032215,244.1733546568427,167.26917611745964
1,Deaths,374,Niue,3,Both,22,All ages,294,All causes,1,Number,2021,21.490631111112233,24.11602845160908,18.701270062777542
1,Deaths,374,Niue,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,374,Niue,3,Both,22,All ages,294,All causes,3,Rate,2021,1285.5766178800718,1442.628749859672,1118.7161229963126
1,Deaths,25,Micronesia (Federated States of),3,Both,22,All ages,294,All causes,1,Number,2021,814.0030718713809,1021.230229555722,657.9703986524306
1,Deaths,25,Micronesia (Federated States of),3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,25,Micronesia (Federated States of),3,Both,22,All ages,294,All causes,3,Rate,2021,793.5472591793394,995.5668199039426,641.4356708401646
1,Deaths,154,Tunisia,3,Both,22,All ages,294,All causes,1,Number,2021,103439.20719243116,124510.5666249287,84754.85036841917
1,Deaths,154,Tunisia,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,154,Tunisia,3,Both,22,All ages,294,All causes,3,Rate,2021,873.4517760915579,1051.3805984455396,715.6790601551222
1,Deaths,157,Yemen,3,Both,22,All ages,294,All causes,1,Number,2021,216518.8982941218,263104.91526726715,180066.97330098442
1,Deaths,157,Yemen,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,157,Yemen,3,Both,22,All ages,294,All causes,3,Rate,2021,643.5688178182592,782.0385223405003,535.2211287257069
1,Deaths,26,Papua New Guinea,3,Both,22,All ages,294,All causes,1,Number,2021,80732.23292805563,99349.87815607774,65176.76383790972
1,Deaths,26,Papua New Guinea,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,26,Papua New Guinea,3,Both,22,All ages,294,All causes,3,Rate,2021,771.7027266735147,949.664949017943,623.0112130590121
1,Deaths,91,Portugal,3,Both,22,All ages,294,All causes,1,Number,2021,123129.49182860208,124562.46131515298,121663.49323931755
1,Deaths,91,Portugal,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,91,Portugal,3,Both,22,All ages,294,All causes,3,Rate,2021,1160.7395173961277,1174.2480951183356,1146.9195749131518
1,Deaths,41,Uzbekistan,3,Both,22,All ages,294,All causes,1,Number,2021,199788.270208396,226981.66035830433,175028.46663598937
1,Deaths,41,Uzbekistan,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,41,Uzbekistan,3,Both,22,All ages,294,All causes,3,Rate,2021,583.615327252442,663.051819068944,511.2877534186864
1,Deaths,107,Barbados,3,Both,22,All ages,294,All causes,1,Number,2021,3294.765964179703,3880.917585914911,2776.48361350278
1,Deaths,107,Barbados,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,107,Barbados,3,Both,22,All ages,294,All causes,3,Rate,2021,1101.8370392884606,1297.858114681488,928.512834475782
1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,294,All causes,1,Number,2021,10485.940402233564,13419.145722313997,8219.916943968252
1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,294,All causes,3,Rate,2021,693.3715376906433,887.3265865590623,543.5331722765295
